# nrow,Sequencing Panel,Sample ID (Illumina),Sample ID (Collaborator),Sample ID (SGDP),DNA Source,"Embargo level (X=Fully Public, Y=Signed Letter)",Genetic sex assignment,Population ID,Region,Country,Town,Latitude,Longitude,Coverage (mean), Number of bases covered without masking , Number of bases covered filter level >=0 , Number of bases covered filter level >=1 , Number of bases covered filter level >=9 ,Divergence per bp to hg19 without masking,Divergence per bp to hg19 filter level >=0,Divergence per bp to hg19 filter level >=1,Divergence per bp to hg19 filter level >=9,mtDNA haplogroup,Y haplogroup,samtools autosomal heterozygosity,samtools X heterozygosity,mlrho autosomal heterozygosity,mlrho X chromosome heterozygosity,zygosities:mlrho_X_het_lowerBound,zygosities:mlrho_X_het_upperBound,GATK heterozygosity rate filter level without masking,GATK heterozygosity rate filter level filter level >=0,GATK heterozygosity rate filter level filter level >=1,GATK heterozygosity rate filter level filter level >=9,Neanderthal ancestry estimate based on rate of nd10 sites,Denisova ancestry estimate based on rate of nd10 sites,Discordance rate with Human Origins SNP array,Fraction of variants not seen in 1kg at filter level >=1 ,Fraction of genome covered at 20X,Fraction of genome covered at 10X,Concordance with Omni genotyping array,Contamination estimate (conTEST) at filter level>=0 (fraction),Contamination estimate (conTEST) at filter level>=1 (fraction),Contamination estimate (conTEST) at filter level>=9 (fraction)
1,B,SS6004480,DNK07,B_Dinka-3,Genomic_from_saliva,X,XY,Dinka,Africa,Sudan,Aweil,8.783333333,27.4,37.93,"2,649,168,686","2,299,934,922","2,009,358,258","1,156,145,384",0.001172864,0.001044535,0.000987057,0.00095,L0a1a:0,A1b1b2b1,..,5.19E-05,1.15E-03,6.79E-05,6.62E-05,6.96E-05,0.001108826,0.000950642,0.000905739,0.000872793,0,0,0.004,0.0236,0.88,0.92,NA,0.001,0.001,0.001
2,B,SS6004473,HGDP01036,B_Ju_hoan_North-4,Genomic_from_cell_lines,X,XY,Ju_hoan_North,Africa,Namibia,?,-18.93725689,21.45244764,40.57,"2,650,459,992","2,320,241,005","2,098,365,246","1,190,438,914",0.001312359,0.001170658,0.001120714,0.001119,L0d1c1a,A1b1b2a,..,5.61E-05,1.21E-03,8.18E-05,8.00E-05,8.37E-05,0.001176896,0.00100427,0.000967477,0.000964519,0.005,0.015,0.004,0.1025,0.88,0.92,NA,..,0.001,0.001
3,B,SS6004470,HGDP01286,B_Mandenka-3,Genomic_from_cell_lines,X,XY,Mandenka,Africa,Senegal,?,12,-12,39.08,"2,650,817,086","2,320,834,316","2,090,319,131","1,193,048,211",0.001182086,0.001055982,0.001010435,0.001009,L1b1a,E1b1b1a1a,..,5.06E-05,1.18E-03,6.98E-05,6.81E-05,7.15E-05,0.001144487,0.000988468,0.000950374,0.00094982,0,0,0.003,0.014,0.87,0.92,NA,0.003,0.003,0.003
4,B,SS6004471,HGDP00982,B_Mbuti-4,Genomic_from_cell_lines,X,XY,Mbuti,Africa,Congo,?,1,29,39.59,"2,650,545,474","2,309,802,327","2,094,855,622","1,219,683,352",0.001271278,0.001135305,0.001087419,0.001085,L0a2b,E2b1a,..,5.44E-05,1.19E-03,7.47E-05,7.29E-05,7.64E-05,0.001157038,0.000993931,0.000957471,0.000952887,0.002,0.006,0.004,0.0428,0.87,0.92,NA,..,0.001,0.001
5,B,SS6004475,HGDP00936,B_Yoruba-3,Genomic_from_cell_lines,X,XY,Yoruba,Africa,Nigeria,?,7.4,3.9,41.21,"2,651,498,347","2,319,409,064","2,089,719,060","1,242,959,095",0.001187919,0.001060192,0.00101284,0.001001,L2a1a2b,E1b1a1a1f1a1,..,5.26E-05,1.19E-03,7.53E-05,7.35E-05,7.71E-05,0.001151412,0.000991441,0.000953099,0.000949294,0,0,0.004,0.0125,0.88,0.92,NA,0.001,0.001,0.001
6,B,SS6004476,HGDP01015,B_Karitiana-3,Genomic_from_cell_lines,X,XY,Karitiana,America,Brazil,?,-10,-63,37.39,"2,648,826,960","2,320,289,351","2,092,421,469","1,222,623,487",0.001040162,0.000922096,0.000881813,0.000877,D1e,Q1a2a1a1,..,2.99E-05,6.80E-04,5.07E-05,4.93E-05,5.22E-05,0.000671061,0.000543966,0.000520972,0.000520608,0.021,0.002,0.002,0.0206,0.87,0.92,NA,0.001,0.001,0.001
7,B,SS6004479,mixe0007,B_Mixe-1,Genomic_from_cell_lines,X,XX,Mixe,America,Mexico,"Tmazulapan, Mixe",16.95,96.58,40.13,"2,647,787,967","2,316,696,559","2,107,240,445","1,238,051,561",0.001033839,0.000917626,0.000872263,0.000843,C1b1,..,..,0.000334815,7.48E-04,3.97E-04,3.92E-04,4.02E-04,0.000748214,0.000618915,0.000591237,0.000575689,0.02,0.004,0.002,0.0191,0.9,0.91,NA,0.001,0.001,0.001
8,B,SS6004467,HGDP01308,B_Dai-4,Genomic_from_cell_lines,X,XY,Dai,EastAsia,China,?,21,100,39.22,"2,649,519,306","2,317,215,419","2,083,264,182","1,215,223,162",0.001040609,0.000924537,0.000884281,0.000875,D4,C3,..,4.02E-05,8.62E-04,6.26E-05,6.10E-05,6.42E-05,0.000836401,0.000700887,0.000672983,0.000666388,0.022,0.003,0.002,0.0171,0.88,0.92,NA,0.001,0.001,0.001
9,B,SS6004469,HGDP00775,B_Han-3,Genomic_from_cell_lines,X,XY,Han,EastAsia,China,?,32.26566812,114,37.72,"2,650,631,496","2,320,031,406","2,076,687,026","1,162,599,012",0.001046349,0.00093012,0.000888535,0.000887,R9b1a3,O2a,..,3.88E-05,8.80E-04,7.34E-05,7.16E-05,7.52E-05,0.000840896,0.000702937,0.000673208,0.000670009,0.025,0.004,0.002,0.0203,0.87,0.92,NA,0.001,0.001,0.001
10,B,SS6004478,IHW9118,B_Australian-3,Genomic_from_cell_lines,X,XX,Australian,Oceania,Australia,Cell_line_repository_sampling_location_unknown,..,..,44.4,"2,648,816,061","2,320,438,834","2,113,067,770","1,205,082,855",0.001079763,0.000957885,0.000916165,0.000908,M42a,..,..,0.000413181,8.13E-04,4.86E-04,4.81E-04,4.91E-04,0.000815193,0.000675827,0.000649271,0.000647831,..,..,..,..,0.9,0.91,NA,0.001,0.001,0.001
