Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HGDP00005	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00288	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00290	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00315	male			Kalash		Central South Asia (HGDP)	KalashHGDP	Human Genome Diversity Project
HGDP00341	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00346	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00106	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00118	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00120	male			Hazara		Central South Asia (HGDP)	HazaraHGDP	Human Genome Diversity Project
HGDP00137	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00144	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00149	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00151	female			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00163	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00175	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00187	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00199	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00214	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00372	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00423	male			Burusho		Central South Asia (HGDP)	BurushoHGDP	Human Genome Diversity Project
HGDP00454	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00062	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00074	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00086	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00098	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00017	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00029	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00031	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00043	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00226	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00264	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00543	male			Papuan,Papuan Sepik		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanSepikHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00550	female			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00555	male			Papuan,Papuan Highlands		Oceania (SGDP),Oceania (HGDP)	PapuanSGDP,PapuanHighlandsHGDP	Simons Genome Diversity Project,Human Genome Diversity Project
HGDP00562	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00668	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00670	male			Sardinian		Europe (HGDP)	SardinianHGDP	Human Genome Diversity Project
HGDP00675	male			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00682	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00009	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00687	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00011	male			Brahui		Central South Asia (HGDP)	BrahuiHGDP	Human Genome Diversity Project
HGDP00694	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00699	female			Palestinian		Middle East (HGDP)	PalestinianHGDP	Human Genome Diversity Project
HGDP00714	male			Cambodian		East Asia (HGDP)	CambodianHGDP	Human Genome Diversity Project
HGDP00719	female			Cambodian		East Asia (HGDP)	CambodianHGDP	Human Genome Diversity Project
HGDP00644	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00649	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00651	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00663	female			Bougainville		Oceania (HGDP)	BougainvilleHGDP	Human Genome Diversity Project
HGDP00512	male			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00517	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00524	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00529	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00531	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00536	female			French		Europe (HGDP)	FrenchHGDP	Human Genome Diversity Project
HGDP00179	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00618	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00181	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00620	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00201	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00625	male			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00206	female			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00632	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00213	male			Pathan		Central South Asia (HGDP)	PathanHGDP	HGDP Transcriptome,Human Genome Diversity Project
HGDP00637	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00218	male			Pathan		Central South Asia (HGDP)	PathanHGDP	Human Genome Diversity Project
HGDP00598	male			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00143	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00601	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00148	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00606	female			Druze		Middle East (HGDP)	DruzeHGDP	Human Genome Diversity Project
HGDP00150	male			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00613	female			Bedouin		Middle East (HGDP)	BedouinHGDP	Human Genome Diversity Project
HGDP00155	female			Makrani		Central South Asia (HGDP)	MakraniHGDP	Human Genome Diversity Project
HGDP00459	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00167	male			Sindhi		Central South Asia (HGDP)	SindhiHGDP	Human Genome Diversity Project
HGDP00466	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00066	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
HGDP00473	male			Biaka		Africa (HGDP)	BiakaHGDP	Human Genome Diversity Project
HGDP00078	male			Balochi		Central South Asia (HGDP)	BalochiHGDP	Human Genome Diversity Project
