FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation
	NA12546B					
	NA12830A					
	NA18874A					
1341	NA06985	0	0	2.0	CEU	EUR
NA19027	NA19027	0	0	1.0	LWK	AFR
NG14	HG02946	0	0	2.0	ESN	AFR
NA20787	NA20787	0	0	1.0	TSI	EUR
CLM24	HG01280	0	0	1.0	CLM	AMR
SH026	HG00478	0	0	1.0	CHS	EAS
IBS010	HG01527	0	0	1.0	IBS	EUR
NA20849	NA20849	0	0	2.0	GIH	SAS
GB53	HG02757	0	0	2.0	GWD	AFR
NA21122	NA21122	0	0	2.0	GIH	SAS
NA18989	NA18989	0	0	1.0	JPT	EAS
13291	NA07037	0	0	2.0	CEU	EUR
2481	NA20321	0	0	2.0	ASW	AFR
Y016	NA18522	0	0	1.0	YRI	AFR
BB09	HG01914	0	0	1.0	ACB	AFR
SH040	HG00536	0	0	1.0	CHS	EAS
1459	NA12873	0	0	2.0	CEU	EUR
GB28	HG02611	0	0	2.0	GWD	AFR
IBS039	HG01710	0	0	2.0	IBS	EUR
BD12	HG03611	0	0	2.0	BEB	SAS
PR39	HG01167	0	0	1.0	PUR	AMR
BD32	HG03910	0	0	2.0	BEB	SAS
CLM40	HG01384	0	0	2.0	CLM	AMR
CLM64	HG01494	0	0	1.0	CLM	AMR
GB35	HG02634	0	0	1.0	GWD	AFR
IT010	HG03718	0	0	1.0	ITU	SAS
HG00254	HG00254	0	0	2.0	GBR	EUR
PK58	HG03667	0	0	1.0	PJL	SAS
IT049	HG03974	0	0	1.0	ITU	SAS
HG00343	HG00343	0	0	2.0	FIN	EUR
CLM27	HG01344	0	0	1.0	CLM	AMR
HG00121	HG00121	0	0	2.0	GBR	EUR
PK33	HG02790	0	0	2.0	PJL	SAS
NA19310	NA19310	0	0	2.0	LWK	AFR
BB11	HG01989	0	0	2.0	ACB	AFR
HG00844	HG00844	0	0	1.0	CDX	EAS
m002	NA19669	0	0	2.0	MXL	AMR
PK42	HG03488	0	0	2.0	PJL	SAS
NA19067	NA19067	0	0	1.0	JPT	EAS
HG00384	HG00384	0	0	2.0	FIN	EUR
ST078	HG03838	0	0	2.0	STU	SAS
CLM15	HG01253	0	0	1.0	CLM	AMR
Y025a	NA18908	0	0	1.0	YRI	AFR
NA18541	NA18541	0	0	2.0	CHB	EAS
NG56	HG03189	0	0	2.0	ESN	AFR
SH024	HG00473	0	0	2.0	CHS	EAS
PK37	HG03021	0	0	1.0	PJL	SAS
PK22	HG02699	0	0	1.0	PJL	SAS
NA20894	NA20894	0	0	2.0	GIH	SAS
HG00180	HG00180	0	0	2.0	FIN	EUR
HG02178	HG02178	0	0	2.0	CDX	EAS
NA19001	NA19001	0	0	2.0	JPT	EAS
SH072	HG00650	0	0	1.0	CHS	EAS
NA20534	NA20534	0	0	1.0	TSI	EUR
HG00265	HG00265	0	0	1.0	GBR	EUR
Y116	NA19236	0	0	1.0	YRI	AFR
GIH003	NA20910	NA20909	0	2.0	GIH	SAS
IT020	HG03775	0	0	1.0	ITU	SAS
VN054	HG02040	0	0	1.0	KHV	EAS
NG59	HG03198	0	0	2.0	ESN	AFR
CLM29	HG01350	0	0	1.0	CLM	AMR
NA19074	NA19074	0	0	2.0	JPT	EAS
SL32	HG03401	0	0	2.0	MSL	AFR
1334	NA10847	NA12146	NA12239	2.0	CEU	EUR
m010	NA19681	0	0	2.0	MXL	AMR
VN068	HG02081	0	0	2.0	KHV	EAS
HG00236	HG00236	0	0	2.0	GBR	EUR
PK31	HG02783	0	0	1.0	PJL	SAS
Y045	NA19200	0	0	1.0	YRI	AFR
NG45	HG03157	0	0	1.0	ESN	AFR
NA21116	NA21116	0	0	1.0	GIH	SAS
SH017	HG00452	0	0	2.0	CHS	EAS
NA20845	NA20845	0	0	1.0	GIH	SAS
NG06	HG02922	0	0	2.0	ESN	AFR
1420	NA12005	0	0	1.0	CEU	EUR
HG00150	HG00150	0	0	2.0	GBR	EUR
GB58	HG02771	0	0	1.0	GWD	AFR
BB24	HG02282	0	0	2.0	ACB	AFR
HG01817	HG01817	0	0	2.0	CDX	EAS
HG03902	HG03902	0	0	1.0	BEB	SAS
ST004	HG03644	0	0	1.0	STU	SAS
HG02185	HG02185	0	0	2.0	CDX	EAS
NA20827	NA20827	0	0	1.0	TSI	EUR
SL08	HG03072	0	0	1.0	MSL	AFR
NA21102	NA21102	0	0	2.0	GIH	SAS
PK15	HG02661	0	0	2.0	PJL	SAS
SL01	HG03052	0	0	2.0	MSL	AFR
VN079	HG02131	0	0	1.0	KHV	EAS
PEL49	HG02285	0	0	1.0	PEL	AMR
BD52	HG04155	0	0	1.0	BEB	SAS
NA19323	NA19323	0	0	2.0	LWK	AFR
IT194	HG04080	0	0	1.0	ITU	SAS
PEL27	HG01979	0	0	1.0	PEL	AMR
IBS023	HG01605	0	0	2.0	IBS	EUR
PR17	HG01070	0	0	2.0	PUR	AMR
BB07	HG01896	0	0	2.0	ACB	AFR
GIH001	NA20868	0	0	2.0	GIH	SAS
2433	NA19921	0	0	2.0	ASW	AFR
NA18995	NA18995	0	0	1.0	JPT	EAS
NA18740	NA18740	0	0	1.0	CHB	EAS
PK23	HG02724	0	0	1.0	PJL	SAS
SH002	HG00406	0	0	1.0	CHS	EAS
NA18986	NA18986	0	0	1.0	JPT	EAS
NA19010	NA19010	0	0	2.0	JPT	EAS
PK48	HG03631	0	0	2.0	PJL	SAS
m027	NA19758	0	0	2.0	MXL	AMR
BD22	HG03814	0	0	2.0	BEB	SAS
NA21125	NA21125	0	0	2.0	GIH	SAS
NA18624	NA18624	0	0	1.0	CHB	EAS
NA21144	NA21144	0	0	2.0	GIH	SAS
VN081	HG02136	0	0	2.0	KHV	EAS
PEL010	HG01923	0	0	1.0	PEL	AMR
Y006	NA19107	0	0	1.0	YRI	AFR
BB57	HG02497	0	0	2.0	ACB	AFR
NA20765	NA20765	0	0	1.0	TSI	EUR
NG32	HG03118	0	0	1.0	ESN	AFR
GB116	HG03246	0	0	1.0	GWD	AFR
SH070	HG00632	0	0	2.0	CHS	EAS
NA21100	NA21100	0	0	1.0	GIH	SAS
BB30	HG02325	0	0	2.0	ACB	AFR
HG00381	HG00381	0	0	2.0	FIN	EUR
Y027	NA18910	0	0	1.0	YRI	AFR
PEL39	HG02146	0	0	1.0	PEL	AMR
ST143	HG03991	0	0	1.0	STU	SAS
NA19085	NA19085	0	0	1.0	JPT	EAS
NA18560	NA18560	0	0	2.0	CHB	EAS
SH090	HG00704	0	0	1.0	CHS	EAS
SL26	HG03382	0	0	1.0	MSL	AFR
PEL010	HG01924	0	0	2.0	PEL	AMR
VN032	HG01865	0	0	1.0	KHV	EAS
BD30	HG03905	0	0	1.0	BEB	SAS
HG00339	HG00339	0	0	2.0	FIN	EUR
NG79	HG03313	0	0	1.0	ESN	AFR
GB43	HG02675	0	0	1.0	GWD	AFR
VN022	HG01855	0	0	2.0	KHV	EAS
SH053	HG00580	0	0	1.0	CHS	EAS
PK27	HG02736	0	0	1.0	PJL	SAS
SH067	HG00622	0	0	1.0	CHS	EAS
SH042	HG00543	0	0	2.0	CHS	EAS
VN014	HG01847	0	0	2.0	KHV	EAS
1353	NA12489	0	0	2.0	CEU	EUR
PR26	HG01085	0	0	1.0	PUR	AMR
NA18642	NA18642	0	0	2.0	CHB	EAS
GB88	HG02882	0	0	2.0	GWD	AFR
BB46	HG02450	0	0	2.0	ACB	AFR
HG03558	HG03558	0	0	2.0	MSL	AFR
PR68	HG01326	0	0	2.0	PUR	AMR
NA19083	NA19083	0	0	1.0	JPT	EAS
HG02186	HG02186	0	0	2.0	CDX	EAS
IBS050	HG01775	0	0	1.0	IBS	EUR
HG00309	HG00309	0	0	2.0	FIN	EUR
GB65	HG02814	0	0	2.0	GWD	AFR
NA21109	NA21109	0	0	1.0	GIH	SAS
VN006	HG01600	0	0	2.0	KHV	EAS
GB44	HG02678	0	0	1.0	GWD	AFR
PK65	HG03767	0	0	1.0	PJL	SAS
1346	NA12045	0	0	1.0	CEU	EUR
SH074	HG00656	0	0	1.0	CHS	EAS
VN041	HG01874	0	0	2.0	KHV	EAS
Y012	NA18858	0	0	2.0	YRI	AFR
NA19017	NA19017	0	0	2.0	LWK	AFR
IBS018	HG01619	0	0	1.0	IBS	EUR
NA18615	NA18615	0	0	2.0	CHB	EAS
SH014	HG00443	0	0	2.0	CHS	EAS
IT047	HG03978	0	0	1.0	ITU	SAS
BB49	HG02470	0	0	1.0	ACB	AFR
NA18531	NA18531	0	0	2.0	CHB	EAS
NG64	HG03268	0	0	1.0	ESN	AFR
NA20851	NA20851	0	0	2.0	GIH	SAS
HG00269	HG00269	0	0	2.0	FIN	EUR
IT004	HG03773	0	0	1.0	ITU	SAS
ST007	HG03999	0	0	1.0	STU	SAS
IT182	HG04061	0	0	1.0	ITU	SAS
VN090	HG02522	0	0	2.0	KHV	EAS
VN049	HG02026	0	0	1.0	KHV	EAS
IBS011	HG01531	0	0	2.0	IBS	EUR
Y079	NA19114	0	0	2.0	YRI	AFR
VN076	HG02121	0	0	2.0	KHV	EAS
IT020	HG03774	0	0	2.0	ITU	SAS
IT042	HG03963	0	0	1.0	ITU	SAS
NA20815	NA20815	0	0	1.0	TSI	EUR
GB114	HG03241	0	0	2.0	GWD	AFR
ST173	HG04047	0	0	2.0	STU	SAS
NA19430	NA19430	0	0	1.0	LWK	AFR
PK43	HG03490	0	0	1.0	PJL	SAS
PR22	HG01242	0	0	2.0	PUR	AMR
HG00266	HG00266	0	0	2.0	FIN	EUR
NA20878	NA20878	0	0	2.0	GIH	SAS
NA18988	NA18988	0	0	1.0	JPT	EAS
BB49	HG02471	0	0	2.0	ACB	AFR
NA20805	NA20805	0	0	1.0	TSI	EUR
HG00380	HG00380	0	0	2.0	FIN	EUR
ST012	HG03684	0	0	2.0	STU	SAS
NA20519	NA20519	0	0	1.0	TSI	EUR
BB51	HG02476	0	0	2.0	ACB	AFR
Y041	NA19096	0	0	1.0	YRI	AFR
BD18	HG03803	0	0	1.0	BEB	SAS
BD28	HG03833	0	0	1.0	BEB	SAS
NA18616	NA18616	0	0	2.0	CHB	EAS
HG03436	HG03436	0	0	1.0	MSL	AFR
SH032	HG00513	0	0	2.0	CHS	EAS
HG01812	HG01812	0	0	2.0	CDX	EAS
NA20762	NA20762	0	0	1.0	TSI	EUR
HG00323	HG00323	0	0	2.0	FIN	EUR
NA21143	NA21143	0	0	2.0	GIH	SAS
NG78	HG03311	0	0	1.0	ESN	AFR
BB18	HG02108	0	0	2.0	ACB	AFR
BB69	HG02577	0	0	2.0	ACB	AFR
IBS056	HG02221	0	0	1.0	IBS	EUR
IBS049	HG01770	0	0	2.0	IBS	EUR
HG01808	HG01808	0	0	2.0	CDX	EAS
NA20796	NA20796	0	0	1.0	TSI	EUR
NA18646	NA18646	0	0	2.0	CHB	EAS
HG02187	HG02187	0	0	2.0	CDX	EAS
